"Month","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"01-2021",27,70,165,116,68,49,30,12,1
"02-2021",12,31,145,78,48,32,30,1,0
"03-2020",0,0,4,0,4,6,3,1,1
"03-2021",14,52,138,89,34,28,13,0,0
"04-2020",2,5,27,28,21,16,5,4,1
"04-2021",15,33,104,59,34,19,5,0,0
"05-2020",4,8,34,19,16,14,4,1,0
"05-2021",3,8,13,22,11,7,3,0,0
"06-2020",3,1,14,8,6,7,2,1,0
"06-2021",1,1,8,3,3,4,2,1,0
"07-2020",1,2,28,13,6,6,2,0,1
"08-2020",1,0,6,8,3,5,5,1,1
"09-2020",27,11,20,22,11,19,3,5,1
"10-2020",15,41,105,66,47,20,9,2,0
"11-2020",53,74,204,194,128,65,38,19,3
"12-2020",28,53,155,118,86,80,27,14,1
