date,icu,vent,incub_24,covid_pac,covid_pac_trans,total_beds_occ,prop_occ
5/11/2020,3,0,,2,0,0,0
5/12/2020,3,1,,1,1,0,0
5/13/2020,3,0,,0,0,10,29.41176471
5/14/2020,1,1,,0,3,12,35.29411765
5/15/2020,2,1,,0,0,15,44.11764706
5/16/2020,2,1,,0,0,16,47.05882353
5/17/2020,2,1,,1,1,15,44.11764706
5/18/2020,5,0,,3,1,11,32.35294118
5/19/2020,5,0,,4,0,11,32.35294118
5/20/2020,4,0,,4,0,16,47.05882353
5/21/2020,4,0,,3,1,12,35.29411765
5/22/2020,6,0,,4,1,16,47.05882353
5/23/2020,3,0,,3,,9,26.47058824
5/24/2020,2,0,,2,0,7,20.58823529
5/25/2020,3,0,,1,0,8,23.52941176
5/26/2020,1,0,,0,0,4,11.76470588
5/27/2020,1,0,,0,0,7,20.58823529
5/28/2020,0,0,,0,0,6,17.64705882
5/29/2020,1,0,,0,0,6,17.64705882
5/30/2020,1,0,,0,0,8,23.52941176
5/31/2020,1,0,,0,0,7,20.58823529
6/1/2020,0,0,,0,0,4,11.76470588
6/2/2020,0,0,,0,0,5,14.70588235
6/3/2020,0,0,,0,0,6,17.64705882
6/4/2020,0,0,,0,0,7,20.58823529
6/5/2020,0,0,,0,0,4,11.76470588
6/6/2020,3,0,0,1,0,4,11.76470588
6/7/2020,2,0,0,1,0,4,11.76470588
6/8/2020,2,0,0,1,0,4,11.76470588
6/9/2020,4,0,1,1,1,10,29.41176471
6/10/2020,3,0,0,1,0,11,32.35294118
6/11/2020,3,0,0,2,0,10,29.41176471
6/12/2020,4,0,0,1,0,13,38.23529412
6/13/2020,2,0,0,0,0,20,58.82352941
6/14/2020,4,0,0,0,0,13,38.23529412
6/15/2020,4,0,0,0,0,13,38.23529412
6/16/2020,4,0,0,0,0,15,44.11764706
6/17/2020,4,0,0,0,0,18,52.94117647
6/18/2020,2,0,0,0,0,13,38.23529412
6/19/2020,3,0,0,1,0,11,32.35294118
6/20/2020,5,0,0,1,0,11,32.35294118
6/21/2020,2,0,0,0,0,10,29.41176471
6/22/2020,1,0,0,0,0,8,23.52941176
6/23/2020,1,0,0,1,0,11,32.35294118
6/24/2020,3,0,1,0,1,16,47.05882353
6/25/2020,2,0,0,0,0,14,41.17647059
6/26/2020,3,0,0,0,0,15,44.11764706
6/27/2020,0,0,0,0,0,9,26.47058824
6/28/2020,0,0,0,0,0,9,26.47058824
6/29/2020,1,0,0,1,0,9,26.47058824
6/30/2020,3,0,0,2,0,8,23.52941176
7/1/2020,2,0,0,0,0,13,38.23529412
7/2/2020,0,0,0,0,1,11,32.35294118
7/3/2020,0,0,0,0,0,7,20.58823529
7/4/2020,0,0,0,0,0,3,8.823529412
7/5/2020,1,0,0,0,0,9,26.47058824
7/6/2020,2,0,0,0,0,10,29.41176471
7/7/2020,3,0,0,2,0,9,26.47058824
7/8/2020,4,0,0,2,0,10,29.41176471
7/9/2020,6,0,0,2,0,14,41.17647059
7/10/2020,6,0,0,3,1,13,38.23529412
7/11/2020,2,0,0,2,0,7,20.58823529
7/12/2020,4,0,0,3,0,8,23.52941176
7/13/2020,1,1,1,3,2,6,17.64705882
7/14/2020,2,0,0,0,1,11,32.35294118
7/15/2020,3,0,0,0,0,11,32.35294118
7/16/2020,3,0,0,1,0,8,23.52941176
7/17/2020,1,0,0,0,0,6,17.64705882
7/18/2020,1,0,0,0,0,10,29.41176471
7/19/2020,3,0,0,1,0,12,35.29411765
7/20/2020,5,0,0,1,0,18,52.94117647
7/21/2020,2,0,0,1,0,13,38.23529412
7/22/2020,2,0,0,1,0,13,38.23529412
7/23/2020,1,0,0,1,0,10,29.41176471
7/24/2020,1,0,0,0,0,9,26.47058824
7/25/2020,1,0,0,0,0,13,38.23529412
7/26/2020,0,0,0,0,1,6,17.64705882
7/27/2020,6,0,0,4,0,12,35.29411765
7/28/2020,6,0,0,3,0,14,41.17647059
7/29/2020,3,0,0,1,0,16,47.05882353
7/30/2020,2,0,0,0,1,13,38.23529412
7/31/2020,2,0,0,0,0,9,26.47058824
8/1/2020,2,0,0,0,0,9,26.47058824
8/2/2020,2,0,0,0,0,9,26.47058824
8/3/2020,2,0,0,0,0,9,26.47058824
8/4/2020,3,0,0,0,0,10,29.41176471
8/5/2020,2,0,0,0,0,14,41.17647059
8/6/2020,3,0,0,0,0,18,52.94117647
8/7/2020,2,0,0,0,0,18,52.94117647
8/8/2020,2,0,0,0,0,18,52.94117647
8/9/2020,3,0,0,0,0,10,29.41176471
8/10/2020,3,0,0,0,0,8,23.52941176
8/11/2020,2,0,0,0,0,5,14.70588235
8/12/2020,0,0,0,0,0,4,11.76470588
8/13/2020,0,0,0,0,0,4,11.76470588
8/14/2020,1,0,0,0,0,4,11.76470588
8/15/2020,2,0,0,0,0,4,11.76470588
8/16/2020,3,0,0,0,0,4,11.76470588
8/17/2020,4,0,0,0,0,4,11.76470588
8/18/2020,5,0,0,0,0,4,11.76470588
8/19/2020,6,0,0,0,0,4,11.76470588
8/20/2020,0,0,0,0,0,10,29.41176471
8/21/2020,0,0,0,0,0,10,29.41176471
8/22/2020,1,0,0,0,0,7,20.58823529
8/23/2020,2,0,0,1,0,10,29.41176471
8/24/2020,2,0,0,0,0,5,14.70588235
8/25/2020,1,0,0,0,0,8,23.52941176
8/26/2020,2,0,0,0,0,10,29.41176471
8/27/2020,1,0,0,1,0,6,17.64705882
8/28/2020,0,0,0,0,0,6,17.64705882
8/29/2020,0,0,0,0,0,4,11.76470588
8/30/2020,0,0,0,0,0,5,14.70588235
8/31/2020,1,0,0,0,0,6,17.64705882
9/1/2020,1,0,0,0,0,5,14.70588235
9/2/2020,1,0,0,0,0,5,14.70588235
9/3/2020,1,0,0,0,0,2,5.882352941
9/4/2020,1,0,0,1,0,6,17.64705882
9/5/2020,1,0,0,0,0,7,20.58823529
9/6/2020,0,0,0,0,0,7,20.58823529
9/7/2020,0,0,0,0,0,7,20.58823529
9/8/2020,2,0,0,0,0,12,35.29411765
9/9/2020,3,0,0,0,0,13,38.23529412
